"hit","align.length","mismatch","indel","unalign.length","total.miss"
"63_32",65,2,0,0,2
"57_39",65,0,2,0,2
"52_57",65,0,0,0,0
"38_61",65,0,0,0,0
"40_44",65,2,0,0,2
"21_16",65,0,0,0,0
"42_78",65,1,0,0,1
"22_24",65,1,0,0,1
"45_1",65,2,0,0,2
"20_59",65,0,0,0,0
"53_17",65,1,0,0,1
"54_79",65,1,0,0,1
"29_37",65,0,1,0,1
"39_44",65,0,0,0,0
"78_81",65,1,0,0,1
"79_42",65,0,0,0,0
"75_3",65,0,0,0,0
"65_33",65,1,0,0,1
"25_43",65,1,0,0,1
"22_78",65,0,2,0,2
"65_43",65,1,0,0,1
"40_4",65,0,0,0,0
"44_82",65,0,0,0,0
"24_24",65,0,0,0,0
"88_47",65,0,0,0,0
"77_65",65,2,0,0,2
"79_58",65,0,0,0,0
"60_55",65,0,0,0,0
"91_38",65,0,0,0,0
"54_67",65,0,0,0,0
"44_36",65,0,0,0,0
"79_38",65,0,0,0,0
"60_32",65,0,0,0,0
"91_67",65,1,0,0,1
"78_58",65,0,0,0,0
"77_44",65,1,0,0,1
"78_40",65,0,0,0,0
"37_79",65,1,0,0,1
"52_40",65,1,0,0,1
"65_42",65,1,0,0,1
"65_21",65,0,0,0,0
"33_16",65,0,0,0,0
"42_56",65,0,0,0,0
"23_37",65,1,0,0,1
"77_29",65,0,1,0,1
"43_81",65,1,0,0,1
"43_57",65,1,0,0,1
"57_88",65,0,0,0,0
"65_24",65,1,0,0,1
"91_37",65,0,0,0,0
"62_67",65,2,0,0,2
"43_61",65,1,0,0,1
"16_84",65,0,0,0,0
"63_39",65,0,0,0,0
"64_77",65,0,0,0,0
"43_66",65,0,0,0,0
"40_17",65,0,0,0,0
"46_63",65,0,0,0,0
"33_79",64,1,0,1,2
"23_41",65,0,0,0,0
"52_21",65,0,0,0,0
"37_3",65,1,0,0,1
"4_1",65,0,0,0,0
"20_32",65,0,0,0,0
"48_79",65,0,0,0,0
"59_63",65,0,0,0,0
"7_67",65,0,0,0,0
"24_39",65,0,0,0,0
"81_73",65,1,1,0,2
"6_66",65,2,0,0,2
"17_79",65,0,0,0,0
"88_23",65,0,0,0,0
"88_58",65,1,0,0,1
"63_51",65,0,0,0,0
"53_63",65,2,0,0,2
"16_61",65,0,0,0,0
"47_64",65,2,0,0,2
"90_40",65,0,0,0,0
"42_4",65,0,0,0,0
"42_65",65,1,0,0,1
"43_4",65,0,0,0,0
"16_30",65,0,0,0,0
"77_24",65,2,0,0,2
"55_20",65,0,0,0,0
"31_54",65,2,0,0,2
"59_79",65,0,0,0,0
"49_75",65,0,0,0,0
"78_77",65,0,0,0,0
"40_35",65,0,0,0,0
"39_39",65,0,1,0,1
"89_89",65,0,0,0,0
"82_55",65,0,0,0,0
"54_79",65,0,0,0,0
"90_34",65,0,0,0,0
"42_58",65,0,0,0,0
"59_78",65,0,0,0,0
"65_21",65,0,0,0,0
"46_54",65,0,0,0,0
"24_35",65,1,0,0,1
"42_70",65,0,1,0,1
"24_91",65,1,0,0,1
"43_22",65,0,0,0,0
"24_33",65,0,0,0,0
"1_40",65,1,1,0,2
"40_82",65,2,0,0,2
"63_5",65,0,1,0,1
"37_51",65,0,0,0,0
"51_38",65,0,0,0,0
"21_87",65,0,1,0,1
"81_37",65,0,0,0,0
"34_40",65,1,0,0,1
"46_67",65,0,0,0,0
"84_53",65,0,0,0,0
"65_8",65,1,0,0,1
"40_42",65,1,0,0,1
"35_32",65,0,0,0,0
"1_79",65,0,0,0,0
"40_79",65,0,0,0,0
"44_42",65,2,0,0,2
"54_43",65,1,0,0,1
"81_80",65,0,0,0,0
"10_90",65,0,0,0,0
"11_59",65,2,0,0,2
"51_41",65,0,0,0,0
"48_4",65,0,0,0,0
"57_6",65,1,0,0,1
"60_6",65,1,0,0,1
"64_23",65,1,0,0,1
"42_76",64,1,0,1,2
"32_39",65,1,0,0,1
"66_20",65,1,0,0,1
"8_85",65,0,0,0,0
"33_16",65,1,0,0,1
"39_91",65,1,0,0,1
"16_38",65,0,0,0,0
"63_5",65,1,1,0,2
"24_90",65,2,0,0,2
"1_91",65,1,0,0,1
"77_40",65,0,0,0,0
"59_16",65,0,0,0,0
