"hit","align.length","mismatch","indel","unalign.length","total.miss"
"76_44",65,1,0,0,1
"79_22",65,1,0,0,1
"53_77",65,2,0,0,2
"23_16",65,0,0,0,0
"67_68",65,0,0,0,0
"21_57",65,2,0,0,2
"19_60",65,0,0,0,0
"11_16",65,0,0,0,0
"62_21",65,0,0,0,0
"55_15",65,0,0,0,0
"78_50",65,1,0,0,1
"60_75",65,1,0,0,1
"70_41",65,0,0,0,0
"14_42",65,0,0,0,0
"77_63",65,0,0,0,0
"6_78",65,0,0,0,0
"17_5",65,0,0,0,0
"40_69",65,1,0,0,1
"47_65",65,0,0,0,0
"77_1",65,0,0,0,0
"65_44",65,0,1,0,1
"10_64",65,0,0,0,0
"41_52",65,0,0,0,0
"30_86",65,2,0,0,2
"51_65",65,1,0,0,1
"47_76",65,0,0,0,0
"35_45",65,2,0,0,2
"30_8",65,0,0,0,0
"65_2",65,0,0,0,0
"76_41",65,0,0,0,0
"62_83",65,0,0,0,0
"11_40",65,0,0,0,0
"15_82",65,0,0,0,0
"77_75",65,0,0,0,0
"62_56",65,1,0,0,1
"74_60",65,0,0,0,0
"62_22",65,1,0,0,1
"30_49",65,1,1,0,2
"21_14",65,1,0,0,1
"73_76",65,1,0,0,1
"12_43",65,0,0,0,0
"27_29",65,0,0,0,0
"24_15",65,1,0,0,1
"41_5",65,0,0,0,0
"33_79",65,0,0,0,0
"20_61",65,0,0,0,0
"91_22",65,0,0,0,0
"69_16",65,0,0,0,0
"73_34",65,0,0,0,0
"37_21",65,1,0,0,1
"42_3",65,0,0,0,0
"84_1",65,0,0,0,0
"81_77",65,0,0,0,0
"75_16",65,0,0,0,0
"72_16",65,0,0,0,0
"21_18",65,1,0,0,1
"84_29",65,0,0,0,0
"73_74",65,0,0,0,0
"25_72",65,0,0,0,0
"74_43",65,1,0,0,1
"36_1",65,0,0,0,0
"66_45",65,0,0,0,0
"37_51",65,1,0,0,1
"54_72",65,0,0,0,0
"82_77",65,0,0,0,0
"78_28",65,0,0,0,0
